-60.0, -60.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-40.0, 20.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 8,
-40.0, 30.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 30.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 30.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 30.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 30.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 9,
-40.0, 30.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-40.0, 40.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 40.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 40.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 10,
-40.0, 40.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 10,
-40.0, 40.0, 30.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 9,
-40.0, 50.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 50.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, *, *,
-40.0, 50.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 10,
-40.0, 50.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 60.0, 0.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-40.0, 60.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-30.0, -80.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-30.0, -80.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-30.0, -80.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-30.0, -80.0, -10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-30.0, -80.0, 0.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-30.0, -80.0, 10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-30.0, -80.0, 20.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, Gray Matter, Brodmann area 19,
-30.0, -80.0, 30.0, Left Cerebrum, Occipital Lobe, Cuneus, Gray Matter, Brodmann area 19,
-30.0, -80.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, Gray Matter, Brodmann area 19,
-30.0, -70.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-30.0, -70.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-30.0, -70.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-30.0, -70.0, -10.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, Gray Matter, Brodmann area 18,
-30.0, -70.0, 0.0, Left Cerebrum, Occipital Lobe, Sub-Gyral, White Matter, *,
-30.0, -70.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -70.0, 20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-30.0, -70.0, 30.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -70.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, Gray Matter, Brodmann area 19,
-30.0, -60.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-30.0, -60.0, -30.0, Left Cerebellum, Posterior Lobe, Pyramis, Gray Matter, *,
-30.0, -60.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-30.0, -60.0, -10.0, Left Cerebrum, Occipital Lobe, Fusiform Gyrus, White Matter, *,
-30.0, -60.0, 0.0, Left Cerebrum, Occipital Lobe, Sub-Gyral, White Matter, *,
-30.0, -60.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -60.0, 20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -60.0, 30.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -60.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-30.0, -60.0, 50.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, White Matter, *,
-30.0, -50.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-30.0, -50.0, -30.0, Left Cerebellum, Anterior Lobe, *, Gray Matter, *,
-30.0, -50.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-30.0, -50.0, -10.0, Left Cerebrum, Occipital Lobe, Fusiform Gyrus, White Matter, *,
-30.0, -50.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -50.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -50.0, 20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -50.0, 30.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -50.0, 40.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -50.0, 50.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, White Matter, *,
-30.0, -50.0, 60.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, White Matter, *,
-30.0, -40.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-30.0, -40.0, -30.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-30.0, -40.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-30.0, -40.0, -10.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, Gray Matter, Brodmann area 37,
-30.0, -40.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -40.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -40.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -40.0, 30.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -40.0, 40.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -40.0, 50.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -40.0, 60.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, Gray Matter, Brodmann area 5,
-30.0, -30.0, -20.0, Left Cerebrum, *, *, *, *,
-30.0, -30.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -30.0, 0.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -30.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-30.0, -30.0, 20.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-30.0, -30.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, -30.0, 40.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-30.0, -30.0, 50.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-30.0, -30.0, 60.0, Left Cerebrum, Parietal Lobe, Precentral Gyrus, *, *,
-30.0, -20.0, -20.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, White Matter, *,
-30.0, -20.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, Gray Matter, Hippocampus,
-30.0, -20.0, 0.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Putamen,
-30.0, -20.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -20.0, 20.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-30.0, -20.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, -20.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, -20.0, 50.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-30.0, -20.0, 60.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-30.0, -10.0, -30.0, Left Cerebrum, Limbic Lobe, Uncus, Gray Matter, Brodmann area 28,
-30.0, -10.0, -20.0, Left Cerebrum, Sub-lobar, Lateral Ventricle, Cerebro-Spinal Fluid, *,
-30.0, -10.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -10.0, 0.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Putamen,
-30.0, -10.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, -10.0, 20.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-30.0, -10.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, -10.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, -10.0, 50.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-30.0, -10.0, 60.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, *, *,
-30.0, 0.0, -40.0, Left Cerebrum, Limbic Lobe, Uncus, White Matter, *,
-30.0, 0.0, -30.0, Left Cerebrum, Limbic Lobe, Uncus, White Matter, *,
-30.0, 0.0, -20.0, Left Cerebrum, Limbic Lobe, Uncus, White Matter, *,
-30.0, 0.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 0.0, 0.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 0.0, 10.0, Left Cerebrum, Sub-lobar, Claustrum, Gray Matter, *,
-30.0, 0.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 0.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 0.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 0.0, 50.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 0.0, 60.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-30.0, 10.0, -30.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-30.0, 10.0, -20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, *, *,
-30.0, 10.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 10.0, 0.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 10.0, 10.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-30.0, 10.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 10.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 10.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 10.0, 50.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 10.0, 60.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 6,
-30.0, 20.0, -20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, *, *,
-30.0, 20.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 47,
-30.0, 20.0, 0.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-30.0, 20.0, 10.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-30.0, 20.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 20.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 20.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 8,
-30.0, 20.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 8,
-30.0, 30.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 47,
-30.0, 30.0, 0.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 30.0, 10.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 30.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 30.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 9,
-30.0, 30.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 30.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 8,
-30.0, 40.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 40.0, 0.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 40.0, 10.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-30.0, 40.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 40.0, 30.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, White Matter, *,
-30.0, 40.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-30.0, 50.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 50.0, 0.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 50.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 50.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-30.0, 50.0, 30.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 9,
-30.0, 60.0, -10.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 10,
-30.0, 60.0, 0.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, White Matter, *,
-30.0, 60.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 10,
-30.0, 60.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 10,
-20.0, -80.0, -30.0, Left Cerebellum, Posterior Lobe, Pyramis, Gray Matter, *,
-20.0, -80.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-20.0, -80.0, -10.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, White Matter, *,
-20.0, -80.0, 0.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, White Matter, *,
-20.0, -80.0, 10.0, Left Cerebrum, Occipital Lobe, Cuneus, Gray Matter, Brodmann area 17,
-20.0, -80.0, 20.0, Left Cerebrum, Occipital Lobe, Cuneus, White Matter, *,
-20.0, -80.0, 30.0, Left Cerebrum, Occipital Lobe, Cuneus, *, *,
-20.0, -80.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, Gray Matter, Brodmann area 19,
-20.0, -70.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-20.0, -70.0, -30.0, Left Cerebellum, Posterior Lobe, Pyramis, Gray Matter, *,
-20.0, -70.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-20.0, -70.0, -10.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, Gray Matter, Brodmann area 18,
-20.0, -70.0, 0.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, White Matter, *,
-20.0, -70.0, 10.0, Left Cerebrum, Occipital Lobe, Cuneus, Gray Matter, Brodmann area 30,
-20.0, -70.0, 20.0, Left Cerebrum, Occipital Lobe, Precuneus, Gray Matter, Brodmann area 31,
-20.0, -70.0, 30.0, Left Cerebrum, Parietal Lobe, Cuneus, White Matter, *,
-20.0, -70.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, Gray Matter, Brodmann area 7,
-20.0, -70.0, 50.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -60.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-20.0, -60.0, -30.0, Left Cerebellum, Anterior Lobe, *, Gray Matter, *,
-20.0, -60.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-20.0, -60.0, -10.0, Left Cerebrum, Occipital Lobe, Fusiform Gyrus, *, *,
-20.0, -60.0, 0.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, White Matter, *,
-20.0, -60.0, 10.0, Left Cerebrum, Limbic Lobe, Posterior Cingulate, White Matter, *,
-20.0, -60.0, 20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-20.0, -60.0, 30.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -60.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -60.0, 50.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -60.0, 60.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, Gray Matter, Brodmann area 7,
-20.0, -50.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-20.0, -50.0, -30.0, Left Cerebellum, Anterior Lobe, *, Gray Matter, *,
-20.0, -50.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-20.0, -50.0, -10.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-20.0, -50.0, 0.0, Left Cerebrum, Occipital Lobe, Lingual Gyrus, White Matter, *,
-20.0, -50.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -50.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -50.0, 30.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -50.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -50.0, 50.0, Left Cerebrum, Parietal Lobe, Precuneus, White Matter, *,
-20.0, -50.0, 60.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, Gray Matter, Brodmann area 7,
-20.0, -40.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-20.0, -40.0, -30.0, Left Cerebellum, Anterior Lobe, *, Gray Matter, *,
-20.0, -40.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-20.0, -40.0, -10.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, *, *,
-20.0, -40.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-20.0, -40.0, 10.0, Left Cerebrum, Sub-lobar, Lateral Ventricle, Cerebro-Spinal Fluid, *,
-20.0, -40.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -40.0, 30.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-20.0, -40.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -40.0, 50.0, Left Cerebrum, Parietal Lobe, Paracentral Lobule, White Matter, *,
-20.0, -40.0, 60.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, Gray Matter, Brodmann area 5,
-20.0, -30.0, -30.0, Left Brainstem, Pons, *, *, *,
-20.0, -30.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-20.0, -30.0, -10.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, White Matter, *,
-20.0, -30.0, 0.0, Left Cerebrum, Sub-lobar, Thalamus, Gray Matter, *,
-20.0, -30.0, 10.0, Left Cerebrum, Sub-lobar, Thalamus, Gray Matter, Pulvinar,
-20.0, -30.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -30.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -30.0, 40.0, Left Cerebrum, Limbic Lobe, Cingulate Gyrus, Gray Matter, Brodmann area 31,
-20.0, -30.0, 50.0, Left Cerebrum, Parietal Lobe, Sub-Gyral, White Matter, *,
-20.0, -30.0, 60.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-20.0, -20.0, -10.0, Left Cerebrum, Limbic Lobe, Sub-Gyral, White Matter, *,
-20.0, -20.0, 0.0, Left Cerebrum, Sub-lobar, Thalamus, Gray Matter, *,
-20.0, -20.0, 10.0, Left Cerebrum, Sub-lobar, Thalamus, Gray Matter, Lateral Posterior Nucleus,
-20.0, -20.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -20.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -20.0, 40.0, Left Cerebrum, Limbic Lobe, Cingulate Gyrus, White Matter, *,
-20.0, -20.0, 50.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -20.0, 60.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-20.0, -10.0, -30.0, Left Cerebrum, Limbic Lobe, Uncus, Gray Matter, Brodmann area 28,
-20.0, -10.0, -20.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, White Matter, *,
-20.0, -10.0, -10.0, Left Cerebrum, Sub-lobar, *, Gray Matter, Amygdala,
-20.0, -10.0, 0.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Lateral Globus Pallidus,
-20.0, -10.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -10.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, -10.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -10.0, 40.0, Left Cerebrum, Limbic Lobe, Cingulate Gyrus, White Matter, *,
-20.0, -10.0, 50.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, -10.0, 60.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-20.0, 0.0, -30.0, Left Cerebrum, Limbic Lobe, Uncus, Gray Matter, Brodmann area 36,
-20.0, 0.0, -20.0, Left Cerebrum, Limbic Lobe, Uncus, White Matter, *,
-20.0, 0.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 0.0, 0.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Lateral Globus Pallidus,
-20.0, 0.0, 10.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Putamen,
-20.0, 0.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 0.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 0.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 0.0, 50.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 0.0, 60.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 6,
-20.0, 10.0, -10.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Putamen,
-20.0, 10.0, 0.0, Left Cerebrum, Sub-lobar, Lentiform Nucleus, Gray Matter, Putamen,
-20.0, 10.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 10.0, 20.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 10.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 10.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 10.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, White Matter, *,
-20.0, 10.0, 60.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-20.0, 20.0, -20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 47,
-20.0, 20.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 20.0, 0.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 20.0, 10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, White Matter, *,
-20.0, 20.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 20.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 20.0, 40.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 20.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, White Matter, *,
-20.0, 20.0, 60.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, *, *,
-20.0, 30.0, -20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-20.0, 30.0, -10.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 30.0, 0.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 30.0, 10.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 30.0, 20.0, Left Cerebrum, Limbic Lobe, Anterior Cingulate, White Matter, *,
-20.0, 30.0, 30.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 30.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 8,
-20.0, 30.0, 50.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, White Matter, *,
-20.0, 40.0, -20.0, Left Cerebrum, Frontal Lobe, Superior Frontal Gyrus, Gray Matter, Brodmann area 11,
-20.0, 40.0, -10.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 40.0, 0.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-20.0, 40.0, 10.0, Left Cerebrum, Frontal Lobe, Medial Frontal Gyrus, White Matter, *,
-20.0, 40.0, 20.0, Left Cerebrum, Frontal Lobe, Medial Frontal Gyrus, White Matter, *,
